year,month,month_name,date,longitude,latitude,smi,evi,ndmi,ndre,rainfall,spi,elevation,soil_texture
2017,3,Mar,3/1/2017,34.605,1.1506,-0.6604,0.48069999999999985,-0.6604,0.3859999999999989,-1914.7272,-5.7037,3520,4
2017,4,Apr,4/1/2017,34.605,1.1506,-0.6301,0.47609999999999986,-0.6301,0.38659999999999894,-1831.1325,-5.4981,3520,4
2017,5,May,5/1/2017,34.605,1.1506,-0.5998,0.47149999999999986,-0.5998,0.3872,-1747.5378,-5.2925,3520,4
2017,6,Jun,6/1/2017,34.605,1.1506,-0.5695,0.46689999999999987,-0.5695,0.38779999999999903,-1663.9431,-5.0869,3520,4
2017,7,Jul,7/1/2017,34.605,1.1506,-0.5392,0.4622999999999999,-0.5392,0.3883999999999991,-1580.3484,-4.8813,3520,4
2017,8,Aug,8/1/2017,34.605,1.1506,-0.5089,0.4576999999999999,-0.5089,0.3889999999999991,-1496.7537,-4.6757,3520,4
2018,3,Mar,3/1/2018,34.605,1.1506,-0.2968,0.42549999999999993,-0.2968,0.39319999999999944,-911.5908,-3.2365,3520,4
2018,4,Apr,4/1/2018,34.605,1.1506,-0.2665,0.42089999999999994,-0.2665,0.3937999999999995,-827.9961,-3.0309,3520,4
2018,5,May,5/1/2018,34.605,1.1506,-0.2362,0.41629999999999995,-0.2362,0.39439999999999953,-744.4014,-2.8253,3520,4
2018,6,Jun,6/1/2018,34.605,1.1506,-0.2059,0.41169999999999995,-0.2059,0.3949999999999996,-660.8067,-2.6197,3520,4
2018,7,Jul,7/1/2018,34.605,1.1506,-0.1756,0.40709999999999996,-0.1756,0.3955999999999996,-577.212,-2.4141,3520,4
2018,8,Aug,8/1/2018,34.605,1.1506,-0.1453,0.40249999999999997,-0.1453,0.39619999999999966,-493.6173,-2.2085,3520,4
2019,3,Mar,3/1/2019,34.605,1.1506,0.0668,0.3703,0.0668,0.4004,91.5456,-0.7693,3520,4
2019,4,Apr,4/1/2019,34.605,1.1506,0.0971,0.3657,0.0971,0.401,175.1403,-0.5637,3520,4
2019,5,May,5/1/2019,34.605,1.1506,0.1212,0.3975,0.1212,0.3949,200.3754,-0.7967,3520,4
2019,6,Jun,6/1/2019,34.605,1.1506,0.1001,0.3769,0.1001,0.3055,213.5619,0.9366,3520,4
2019,7,Jul,7/1/2019,34.605,1.1506,0.0847,0.5206,0.0847,0.3796,201.2273,-0.4373,3520,4
2019,8,Aug,8/1/2019,34.605,1.1506,0.123,0.3056,0.123,0.2522,243.3008,0.1553,3520,4
2020,3,Mar,3/1/2020,34.605,1.1506,0.1464,0.4849,0.1464,0.3289,266.3651,1.7409,3520,4
2020,4,Apr,4/1/2020,34.605,1.1506,0.1138,0.4036,0.1138,0.4131,230.2703,0.365,3520,4
2020,5,May,5/1/2020,34.605,1.1506,0.114,0.4073,0.114,0.4534,208.9578,-0.6303,3520,4
2020,6,Jun,6/1/2020,34.605,1.1506,0.1432,0.4162,0.1432,0.4473,256.021,1.7094,3520,4
2020,7,Jul,7/1/2020,34.605,1.1506,0.1599,0.4216,0.1599,0.4701,326.7049,0.922,3520,4
2020,8,Aug,8/1/2020,34.605,1.1506,0.155825,0.42167499999999997,0.155825,0.4625,294.476725,0.6699,3520,4
2021,3,Mar,3/1/2021,34.605,1.1506,0.1273,0.4222,0.1273,0.4093,68.8795,-1.0948,3520,4
2021,4,Apr,4/1/2021,34.605,1.1506,0.1628,0.4375,0.1628,0.4329,232.9421,0.41,3520,4
2021,5,May,5/1/2021,34.605,1.1506,0.1179,0.3715,0.1179,0.4198,292.5532,0.9906,3520,4
2021,6,Jun,6/1/2021,34.605,1.1506,0.1169,0.354,0.1169,0.4165,126.4146,-0.6495,3520,4
2021,7,Jul,7/1/2021,34.605,1.1506,0.1169,0.3913,0.1169,0.42484999999999995,145.5529,-0.71755,3520,4
2021,8,Aug,8/1/2021,34.605,1.1506,0.1169,0.4286,0.1169,0.4332,164.6912,-0.7856,3520,4
2022,3,Mar,3/1/2022,34.605,1.1506,0.0721,0.4178,0.0721,0.2561,82.6463,-0.8971,3520,4
2022,4,Apr,4/1/2022,34.605,1.1506,0.0814,0.4668,0.0814,0.2858,176.0858,-0.5477,3520,4
2022,5,May,5/1/2022,34.605,1.1506,0.0714,0.3809,0.0714,0.2622,204.4905,-0.7169,3520,4
2022,6,Jun,6/1/2022,34.605,1.1506,0.0561,0.3864,0.0561,0.2544,98.3416,-1.1604,3520,4
2022,7,Jul,7/1/2022,34.605,1.1506,0.0985,0.4103,0.0985,0.2751,129.7197,-1.2119,3520,4
2022,8,Aug,8/1/2022,34.605,1.1506,0.1204,0.4841,0.1204,0.2878,336.773,1.274,3520,4
2023,3,Mar,3/1/2023,34.605,1.1506,0.0919625,0.4521625,0.0919625,0.256825,196.45896249999998,-0.315175,3520,4
2023,4,Apr,4/1/2023,34.605,1.1506,0.0879,0.4476,0.0879,0.2524,176.4141,-0.5422,3520,4
2023,5,May,5/1/2023,34.605,1.1506,0.0707,0.4105,0.0707,0.2545,207.5407,-0.6578,3520,4
2023,6,Jun,6/1/2023,34.605,1.1506,0.0868,0.3748,0.0868,0.241,156.7525,-0.0973,3520,4
2023,7,Jul,7/1/2023,34.605,1.1506,0.1014,0.4286,0.1014,0.291,133.5894,-1.17,3520,4
2023,8,Aug,8/1/2023,34.605,1.1506,0.0843,0.4554,0.0843,0.2687,152.3381,-0.9334,3520,4
2024,3,Mar,3/1/2024,34.605,1.1506,0.0658,0.4654,0.0658,0.2879,101.0235,-0.6332,3520,4
2024,4,Apr,4/1/2024,34.605,1.1506,0.1048,0.5119,0.1048,0.3068,239.1297,0.5143,3520,4
2024,5,May,5/1/2024,34.605,1.1506,0.1047,0.4315,0.1047,0.2951,175.6017,-1.2771,3520,4
2024,6,Jun,6/1/2024,34.605,1.1506,0.0993,0.3172,0.0993,0.1861,88.0148,-1.3484,3520,4
2024,7,Jul,7/1/2024,34.605,1.1506,0.0985,0.4846,0.0985,0.2454,277.6907,0.391,3520,4
2024,8,Aug,8/1/2024,34.605,1.1506,0.0397,0.429,0.0327,0.0729,214.4959,-0.1895,3520,4
2025,3,Mar,3/1/2025,34.605,1.1506,0.0733,0.4453,0.0733,0.2645,215.1538,1.0056,3520,4
2025,4,Apr,4/1/2025,34.605,1.1506,0.0781,0.4628,0.0781,0.2927,184.6257,-0.4039,3520,4
2025,5,May,5/1/2025,34.605,1.1506,0.0806,0.4424,0.0806,0.2786,253.9687,0.2424,3520,4
